Wavelength (nm)	Dilution Corrected Absorbance
230	0.251724
233	0.2234658
236	0.2046241
239	0.1900494
242	0.1796417
245	0.1710419
248	0.1641375
251	0.1579305
254	0.1528074
257	0.1479643
260	0.1436392
263	0.1393502
266	0.1352021
269	0.1313657
272	0.1275232
275	0.123814
278	0.1199891
281	0.1157467
284	0.1111098
287	0.1056131
290	0.102586
293	0.09844741
296	0.09450485
299	0.09055904
302	0.08683709
305	0.08330718
308	0.08007694
311	0.07699273
314	0.07384332
317	0.07089945
320	0.06792172
323	0.064891
326	0.06198738
329	0.05928884
332	0.05664306
335	0.05415518
338	0.05173275
341	0.04935292
344	0.04713188
347	0.04500051
350	0.04302997
353	0.04106837
356	0.03917056
359	0.03744448
362	0.03574896
365	0.03411114
368	0.0325457
371	0.03103133
374	0.02952825
377	0.02817772
380	0.02691592
383	0.02573738
386	0.02459405
389	0.02346088
392	0.0224185
395	0.02143201
398	0.02061244
401	0.01983797
404	0.01906012
407	0.01826231
410	0.01751829
413	0.01676827
416	0.01610323
419	0.01552027
422	0.01490517
425	0.0144337
428	0.0138885
431	0.01333871
434	0.01286786
437	0.01241666
440	0.01197985
443	0.01158596
446	0.01120884
449	0.0108768
452	0.01060254
455	0.01031828
458	0.01002243
461	0.009746094
464	0.009474726
467	0.009186424
470	0.008907884
473	0.00867529
476	0.008440279
479	0.00812404
482	0.007897443
485	0.007639833
488	0.007399682
491	0.007184144
494	0.006978766
497	0.00675544
500	0.006565159
503	0.006374968
506	0.006199899
509	0.00608906
512	0.005924814
515	0.005793948
518	0.005642464
521	0.005503021
524	0.005364095
527	0.005240828
530	0.005142493
533	0.005108308
536	0.005019335
539	0.00496747
542	0.004887315
545	0.004759098
548	0.004152273
551	0.004533663
554	0.004445035
557	0.004384855
560	0.004298847
563	0.004262442
566	0.004204863
569	0.004109559
572	0.004040432
575	0.00401466
578	0.003986855
581	0.004005037
584	0.003958067
587	0.00390144
590	0.003867578
593	0.003788298
596	0.003744704
599	0.003764618
602	0.00370022
605	0.003652373
608	0.003621027
611	0.003609416
614	0.003575351
617	0.003534762
620	0.003437242
623	0.003381734
626	0.003369816
629	0.003306727
632	0.003311022
635	0.003275682
638	0.003218968
641	0.003241553
644	0.003203899
647	0.003179289
650	0.003156557
653	0.003162149
656	0.003121923
659	0.003184945
662	0.003043926
665	0.003070174
668	0.003125663
671	0.00307827
674	0.003089123
677	0.003015464
680	0.002987433
683	0.003025573
686	0.002969408
689	0.002867238
692	0.002906244
695	0.002974084
698	0.003003784
701	0.003075828
704	0.003045917
707	0.003043804
710	0.002987817
713	0.00281114
716	0.002642913
719	0.002523688
722	0.00247274
725	0.002651589
728	0.002888603
731	0.003145181
734	0.003309018
737	0.003358296
740	0.003343651
743	0.003367036
746	0.00325051
749	0.003126555
752	0.003100532
755	0.00304405
758	0.003051886
761	0.002965234
764	0.00295963
767	0.003086818
770	0.002974654
773	0.002914007
776	0.002926364
779	0.003011353
782	0.00300637
785	0.00303155
788	0.002884681
791	0.00292172
794	0.002888207
797	0.002826669
800	0.002792743
