Wavelength (nm)	Dilution Corrected Absorbance
230	0.007881289
233	0.006918468
236	0.006294068
239	0.005921853
242	0.005717089
245	0.005486931
248	0.005203439
251	0.004895954
254	0.004512254
257	0.004149172
260	0.003800023
263	0.003438066
266	0.003137003
269	0.00292447
272	0.002762648
275	0.002570328
278	0.002411446
281	0.00224117
284	0.002073503
287	0.001936063
290	0.001820719
293	0.001688755
296	0.001550634
299	0.001434098
302	0.001297063
305	0.001181336
308	0.001083344
311	0.001005207
314	0.0009034499
317	0.0008327109
320	0.0007801868
323	0.0007278776
326	0.0006751885
329	0.0006601481
332	0.0006338676
335	0.0006175285
338	0.0006041797
341	0.0005929488
344	0.0005625196
347	0.0005444961
350	0.0005274014
353	0.0004955205
356	0.0004685421
359	0.0004485795
362	0.0004292207
365	0.0004244797
368	0.0004109518
371	0.0004201044
374	0.000407614
377	0.000404905
380	0.000404844
383	0.0004079677
386	0.0004025995
389	0.0003919815
392	0.000404178
395	0.0003943169
398	0.0004050187
401	0.0004017524
404	0.0003948254
407	0.0003910509
410	0.0003830443
413	0.0003897978
416	0.0003818038
419	0.000389236
422	0.0003855615
425	0.000416286
428	0.0004255571
431	0.0004430489
434	0.0004601573
437	0.0004648657
440	0.0004516736
443	0.0004579639
446	0.0004418246
449	0.0004441055
452	0.0004461702
455	0.0004574975
458	0.0004750504
461	0.0004942712
464	0.0005023766
467	0.0004990461
470	0.0005066974
473	0.0005162786
476	0.0005010604
479	0.0004957909
482	0.0004872005
485	0.0004894504
488	0.0004767267
491	0.0004831862
494	0.000469333
497	0.0004597659
500	0.0004634086
503	0.000461479
506	0.0004531134
509	0.0004532687
512	0.0004442983
515	0.0004449882
518	0.0004538331
521	0.0004565629
524	0.0004595798
527	0.0004445592
530	0.0004465884
533	0.0004471836
536	0.0004529352
539	0.0004606068
542	0.0004618041
545	0.000460302
548	0.0002512515
551	0.000451568
554	0.0004642888
557	0.0004612425
560	0.0004730599
563	0.0004861521
566	0.0004668327
569	0.0004773389
572	0.0004851568
575	0.000479286
578	0.000481337
581	0.0004851909
584	0.0004839126
587	0.0004749932
590	0.0004999242
593	0.0004989782
596	0.0004968678
599	0.0004867696
602	0.0004921443
605	0.0004829663
608	0.0005010002
611	0.0005224572
614	0.0005020536
617	0.0004985728
620	0.0004895126
623	0.0005004449
626	0.0004861407
629	0.0005059789
632	0.0005309017
635	0.0004975791
638	0.0004870255
641	0.000512354
644	0.0005097394
647	0.0005007151
650	0.0005075799
653	0.000502643
656	0.0004796076
659	0.0004928342
662	0.0005165232
665	0.0004922133
668	0.0004941985
671	0.0005051959
674	0.0004883738
677	0.0005087551
680	0.0005027259
683	0.0005230262
686	0.0004974261
689	0.0004639947
692	0.0004717836
695	0.0004560339
698	0.00045214
701	0.0004337145
704	0.0004605547
707	0.000442228
710	0.0004479757
713	0.0004182241
716	0.0003611984
719	0.0003041535
722	0.0002976266
725	0.0003098766
728	0.0003597517
731	0.0003815054
734	0.0003460379
737	0.0002837551
740	0.0002634066
743	0.0002788641
746	0.0002826462
749	0.0002928937
752	0.0003361955
755	0.0003114583
758	0.0003314031
761	0.000374209
764	0.0003767099
767	0.0003648203
770	0.0003631505
773	0.0004419592
776	0.0004441645
779	0.0004497176
782	0.0004812881
785	0.0004757325
788	0.0004810336
791	0.0005410884
794	0.0005389169
797	0.0004861865
800	0.0004386384
