Wavelength (nm)	Dilution Corrected Absorbance
230	0.272141
233	0.2364255
236	0.2074644
239	0.1826264
242	0.1666518
245	0.1564734
248	0.1531828
251	0.1552685
254	0.1607643
257	0.1686631
260	0.1774101
263	0.1859396
266	0.1923224
269	0.1945776
272	0.1922537
275	0.1860351
278	0.1766979
281	0.1636363
284	0.1482874
287	0.1329249
290	0.1191841
293	0.1086652
296	0.1000232
299	0.09303236
302	0.08724266
305	0.08209845
308	0.07760316
311	0.07358335
314	0.06991784
317	0.06689308
320	0.06433492
323	0.06212496
326	0.060251
329	0.05860942
332	0.05707358
335	0.05563826
338	0.05420782
341	0.05272351
344	0.05124086
347	0.04968952
350	0.04805656
353	0.04626365
356	0.04433806
359	0.04238643
362	0.04020616
365	0.03793358
368	0.0356098
371	0.03317217
374	0.03067175
377	0.02832234
380	0.02612511
383	0.02411548
386	0.0221556
389	0.0203353
392	0.01879126
395	0.01740763
398	0.01634977
401	0.01540546
404	0.01459836
407	0.01388226
410	0.01328261
413	0.01273522
416	0.01228454
419	0.01190568
422	0.01154865
425	0.01125829
428	0.01098476
431	0.01072094
434	0.01045983
437	0.01022093
440	0.009986158
443	0.009740181
446	0.009533275
449	0.009317866
452	0.00911703
455	0.008921041
458	0.00873279
461	0.00857332
464	0.008394482
467	0.008233729
470	0.008054992
473	0.007884506
476	0.007698837
479	0.007503945
482	0.007321092
485	0.007147582
488	0.006953323
491	0.006749798
494	0.006572599
497	0.006379942
500	0.006170332
503	0.005977505
506	0.005334204
509	0.005603198
512	0.005425505
515	0.005232805
518	0.005057708
521	0.004888192
524	0.004726468
527	0.004556223
530	0.004399079
533	0.004250912
536	0.00411594
539	0.003990193
542	0.003857238
545	0.003726218
548	0.00363697
551	0.003523636
554	0.003420145
557	0.003329063
560	0.003231134
563	0.003119537
566	0.003047889
569	0.002953171
572	0.002874937
575	0.002803951
578	0.002744206
581	0.002653528
584	0.002595609
587	0.002525109
590	0.002446278
593	0.002387071
596	0.002336173
599	0.002255855
602	0.002197293
605	0.00213712
608	0.002093523
611	0.00202209
614	0.001984275
617	0.001942071
620	0.001884085
623	0.001835834
626	0.001802329
629	0.001752247
632	0.001715655
635	0.001666726
638	0.001634963
641	0.001609908
644	0.001573633
647	0.001540618
650	0.001497338
653	0.001467424
656	0.001421968
659	0.00139818
662	0.001384563
665	0.00137159
668	0.001340169
671	0.001321928
674	0.001291419
677	0.001289175
680	0.001248169
683	0.001239077
686	0.001213682
689	0.001172097
692	0.001183428
695	0.001177027
698	0.001137263
701	0.001085124
704	0.001076708
707	0.001095319
710	0.00103904
713	0.0009835508
716	0.0009512385
719	0.00089886
722	0.0008725949
725	0.0008251518
728	0.0008098684
731	0.0007566234
734	0.0006789944
737	0.000618788
740	0.0005885993
743	0.000586507
746	0.0006032456
749	0.0006314339
752	0.0006677386
755	0.000701547
758	0.0007298221
761	0.0007631109
764	0.000828376
767	0.0008549744
770	0.0008928899
773	0.0009477325
776	0.0009483175
779	0.0009760272
782	0.0009867584
785	0.0009717662
788	0.00101286
791	0.001005252
794	0.0009918657
797	0.0009940515
800	0.0009559392
